| id | section | claim | manuscript value | artifact value | verdict |
| `M-175` | 3.4/P3 | TAF15 first RG position | `175` | `175` | **REPRODUCES** |
| `M-161` | 3.4/P3 | TAF15 retained at exon 6 | `161` | `161` | **REPRODUCES** |
| `M-14` | 3.4/P3 | distance to first RG (headroom claimed 14) | `14` | `14` | **REPRODUCES** |
| `M-174` | 3.4 | artifact rg_free_ceiling stored value 174 | `174` | `174` | **REPRODUCES** |
| `M-13` | 3.4 | artifact headroom stored value 13 | `13` | `13` | **REPRODUCES** |
| `G-TR-EWSR1` | S1 | transcript accession, EWSR1 | `ENST00000397938` | `ENST00000397938` | **REPRODUCES** |
| `G-EX-EWSR1` | S1 | transcript exon count, EWSR1 | `17` | `17` | **REPRODUCES** |
| `G-PL-EWSR1` | S1 | protein length aa, EWSR1 | `656` | `656` | **REPRODUCES** |
| `G-TR-TAF15` | S1 | transcript accession, TAF15 | `ENST00000605844` | `ENST00000605844` | **REPRODUCES** |
| `G-EX-TAF15` | S1 | transcript exon count, TAF15 | `16` | `16` | **REPRODUCES** |
| `G-PL-TAF15` | S1 | protein length aa, TAF15 | `592` | `592` | **REPRODUCES** |
| `G-TR-FUS` | S1 | transcript accession, FUS | `ENST00000254108` | `ENST00000254108` | **REPRODUCES** |
| `G-EX-FUS` | S1 | transcript exon count, FUS | `15` | `15` | **REPRODUCES** |
| `G-PL-FUS` | S1 | protein length aa, FUS | `526` | `526` | **REPRODUCES** |
| `G-TR-NR4A3` | S1 | transcript accession, NR4A3 | `ENST00000395097` | `ENST00000395097` | **REPRODUCES** |
| `G-EX-NR4A3` | S1 | transcript exon count, NR4A3 | `8` | `8` | **REPRODUCES** |
| `G-PL-NR4A3` | S1 | protein length aa, NR4A3 | `626` | `626` | **REPRODUCES** |
| `G-TR-TCF12` | S1 | transcript accession, TCF12 | `ENST00000333725` | `ENST00000333725` | **REPRODUCES** |
| `G-EX-TCF12` | S1 | transcript exon count, TCF12 | `21` | `21` | **REPRODUCES** |
| `G-PL-TCF12` | S1 | protein length aa, TCF12 | `706` | `706` | **REPRODUCES** |
| `G-UNI-TCF12` | S1 | UniProt TCF12 length 682 | `682` | `682` | **REPRODUCES** |
| `G-CACHE-DATE` | S1 | cache retrieval date 2026-08-12 | `2026-08-12` | `2026-08-12` | **REPRODUCES** |
| `KAC-POS` | control | positive control: 949 vs artifact 949 | `949` | `949` | **REPRODUCES** |
| `KAC-NEG` | control | NEGATIVE control: deliberately wrong 950 must report MISMATCH | `950` | `949` | **MISMATCH** |
| `KAC-PATH` | control | absent-path control: must report MISMATCH | `anything` | `<ABSENT:no_such_field>` | **MISMATCH** |

TOTAL 78 rows; MISMATCH 2
  MISMATCH: KAC-NEG | manuscript 950 | artifact 949
  MISMATCH: KAC-PATH | manuscript 'anything' | artifact '<ABSENT:no_such_field>'
